Zone,region_fr,province_fr,cercle_fr,code_commune,commune_fr,douar_mere,code_localite,nom_fr,nom_ar,type_localite,milieu,population,menage,full_address,Latitude,Longitude,Google Maps Link
0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,70410701,Aghbar,-,70410701001,Adouz,أدوز,douar,rural,245,42,"Adouz, Aghbar, Al Haouz",30.9035043,-8.4050087,"https://www.google.com/maps/?q=30.90350430,-8.40500870"
0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,70410701,Aghbar,-,70410701002,Agadir,أكادير,douar,rural,343,63,"Agadir, Aghbar, Al Haouz",,,
0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,70410701,Aghbar,-,70410701003,Amndar,أمندار,douar,rural,660,102,"Amndar, Aghbar, Al Haouz",30.8476767,-8.5798075,"https://www.google.com/maps/?q=30.84767670,-8.57980750"
0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,70410701,Aghbar,-,70410701005,Anarghi,أنرغي,douar,rural,480,74,"Anarghi, Aghbar, Al Haouz",30.9214522,-8.410357399999999,"https://www.google.com/maps/?q=30.92145220,-8.41035740"
0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,70410701,Aghbar,-,70410701010,Imlil,إمليل,douar,rural,223,51,"Imlil, Aghbar, Al Haouz",31.1356474,-7.919484199999999,"https://www.google.com/maps/?q=31.13564740,-7.91948420"
0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,70410705,Ighil,-,70410705001,Agadir N'Imrkhssen,أكادير نإمرخسن,douar,rural,136,21,"Agadir N'Imrkhssen, Ighil, Al Haouz",30.9410678,-7.858216099999999,"https://www.google.com/maps/?q=30.94106780,-7.85821610"
0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,70410705,Ighil,-,70410705014,Tadafalte,تدافالت,douar,rural,238,36,"Tadafalte, Ighil, Al Haouz",30.9790167,-8.3208213,"https://www.google.com/maps/?q=30.97901670,-8.32082130"
0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,70410705,Ighil,-,70410705020,Tawrirte Al Oulia,تاوريرت العليا,douar,rural,244,36,"Tawrirte Al Oulia, Ighil, Al Haouz",31.4533884,-7.336296900000001,"https://www.google.com/maps/?q=31.45338840,-7.33629690"
0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,70410713,Talat N'Yaaqoub,-,70410713039,Tifni,تيفني,douar,rural,606,129,"Tifni, Talat N'Yaaqoub, Al Haouz",30.989573,-8.1837123,"https://www.google.com/maps/?q=30.98957300,-8.18371230"
0 - 10km_zone d'impact direct,Marrakech-Safi,Chichaoua,Majjat,71610709,Imindounit,-,71610709005,Anssa,انسا,douar,rural,981,200,"Anssa, Imindounit, Chichaoua",31.0660332,-8.5311908,"https://www.google.com/maps/?q=31.06603320,-8.53119080"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410505,Anougal,-,70410505001,Adrdore,أضرضور,douar,rural,122,27,"Adrdore, Anougal, Al Haouz",31.1386989,-8.2653723,"https://www.google.com/maps/?q=31.13869890,-8.26537230"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410505,Anougal,-,70410505004,Ait Ouzakri,أيت أزكري,douar,rural,133,28,"Ait Ouzakri, Anougal, Al Haouz",31.2956729,-7.872159999999999,"https://www.google.com/maps/?q=31.29567290,-7.87216000"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410505,Anougal,-,70410505008,Aguerdane,أكرضان,douar,rural,121,24,"Aguerdane, Anougal, Al Haouz",31.2271315,-9.5796925,"https://www.google.com/maps/?q=31.22713150,-9.57969250"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410505,Anougal,-,70410505010,Imi N'Tala,إمين تلا,douar,rural,373,67,"Imi N'Tala, Anougal, Al Haouz",31.1290673,-8.2667679,"https://www.google.com/maps/?q=31.12906730,-8.26676790"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410505,Anougal,-,70410505011,Imi Ourmer,إمي أورمر,douar,rural,180,34,"Imi Ourmer, Anougal, Al Haouz",31.0939292,-8.265742,"https://www.google.com/maps/?q=31.09392920,-8.26574200"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410505,Anougal,-,70410505014,Kettou,كطو,douar,rural,214,34,"Kettou, Anougal, Al Haouz",31.0859108,-8.274292,"https://www.google.com/maps/?q=31.08591080,-8.27429200"
10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,70410505,Anougal,-,70410505015,Ourmer,أورمر,douar,rural,317,57,"Ourmer, Anougal, Al Haouz",31.0866049,-8.2524059,"https://www.google.com/maps/?q=31.08660490,-8.25240590"
